"pair_id","Description","Direction","Origin","Destination","Distance"
5490,"1S - I-93 SB after Pelham St. in Methuen (u508) <3D> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-93 SB after Pelham St. in Methuen (u508) <3D>","I-93 SB before I-95 in Woburn (u495) <1C>",15.1
5491,"2S-C - I-93 SB before I-495 in Andover (u507) <3C> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-93 SB before I-495 in Andover (u507) <3C>","I-93 SB before I-95 in Woburn (u495) <1C>",12.4
5492,"2S-A - I-495 NB before I-93 in Andover (u505) <3A> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-495 NB before I-93 in Andover (u505) <3A>","I-93 SB before I-95 in Woburn (u495) <1C>",12.2
5493,"2S-B - I-495 SB before I-93 in Andover (u506) <3B> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-495 SB before I-93 in Andover (u506) <3B>","I-93 SB before I-95 in Woburn (u495) <1C>",13.2
5494,"3S - I-93 SB before Rt. 62 in Wilmington (u496) <1D> to I-93 SB before I-95 in Woburn (u495) <1C>","SB","I-93 SB before Rt. 62 in Wilmington (u496) <1D>","I-93 SB before I-95 in Woburn (u495) <1C>",4.8
5495,"4S-C - I-93 SB before I-95 in Woburn (u495) <1C> to I-93 SB after Cambridge St. in Somerville (u492) <0F>","SB","I-93 SB before I-95 in Woburn (u495) <1C>","I-93 SB after Cambridge St. in Somerville (u492) <0F>",10.1
5496,"4S-B - I-95 NB after Winn St. in Burlington (u509) <1B> to I-93 SB after Cambridge St. in Somerville (u492 <0F>","SB","I-95 NB after Winn St. in Burlington (u509) <1B>","I-93 SB after Cambridge St. in Somerville (u492) <0F>",11.9
5497,"4S-E - I-95 SB before Rt. 28 in Wakefield (u497) <1E> to I-93 SB after Cambridge St. in Somerville (u492) <0F>","SB","I-95 SB before Rt. 28 in Wakefield (u497) <1E>","I-93 SB after Cambridge St. in Somerville (u492) <0F>",11.2
5498,"5S - I-93 SB before Fallon Rd. in Stoneham (u493) <1A> to I-93 SB after Cambridge St. in Somerville (u492) <0F>","SB","I-93 SB before Fallon Rd. in Stoneham (u493) <1A>","I-93 SB after Cambridge St. in Somerville (u492) <0F>",7
5499,"6S - I-93 SB before Rt. 16 in Medford (u498) <1F> to I-93 SB after Cambridge St. in Somerville (u492) <0F>","SB","I-93 SB before Rt. 16 in Medford (u498) <1F>","I-93 SB after Cambridge St. in Somerville (u492) <0F>",2.9
5500,"7S - I-93 SB after Cambridge St. in Somerville (u492) <0F> to I-93 SB before Mass Ave. Connector in Boston (u490) <0D>","SB","I-93 SB after Cambridge St. in Somerville (u492) <0F>","I-93 SB before Mass Ave. Connector in Boston (u490) <0D>",3.6
5501,"8S - I-93 SB before Mass Ave. Connector in Boston (u490) <0D> to I-93 NB before Granite St. in Braintree (u501) <2C>","SB","I-93 SB before Mass Ave. Connector in Boston (u490) <0D>","I-93 NB before Granite St. in Braintree (u501) <2C>",9.7
5502,"9S - I-93 SB after Granite Ave. in Milton (u491) <0E> to I-93 NB before Granite St. in Braintree (u501) <2C>","SB","I-93 SB after Granite Ave. in Milton (u491) <0E>","I-93 NB before Granite St. in Braintree (u501) <2C>",4.8
5503,"1N-F - I-95 SB before University Ave. in Westwood (u504) <2F> to I-93 NB before Granite St. in Braintree (u501) <2C>","EB","I-95 SB before University Ave. in Westwood (u504) <2F>","I-93 NB before Granite St. in Braintree (u501) <2C>",6.7
