Loc ID,County,Community,On,From,To,Approach,At,Dir,Latitude,Longitude,Latest,Latest Date
1,BERKSHIRE,PITTSFIELD,CHESHIRE ROAD,,,,S.OF LANESBOROUGH,2-WAY,42.4856150548,-73.202091747,7275,8/4/2013
10,BRISTOL,MANSFIELD,INTERSTATE 495,,,SOUTH OF,RTE. I-95 (REPLACES STA 6268),2-WAY,42.0267879042,-71.2576115485,80016,1/1/2012
1001,BERKSHIRE,WILLIAMSTOWN,WATER STREET,,,NORTH OF,IDE RD.,2-WAY,42.7012159501,-73.1998914629,3062,1/1/2012
1002,BERKSHIRE,WILLIAMSTOWN,MAIN STREET,,,EAST OF,COLE AVE.,2-WAY,42.7092656587,-73.1943079035,14469,1/1/2012
1003,BERKSHIRE,WILLIAMSTOWN,SOUTH STREET,,,NORTH OF,GALE RD.,2-WAY,42.7064806137,-73.212527429,500,1/1/1992
1004,BERKSHIRE,WILLIAMSTOWN,LATHAM STREET,,,WEST OF,RTE.43,2-WAY,42.7084646105,-73.2016059572,2473,1/1/2012
1005,BERKSHIRE,WILLIAMSTOWN,PARK STREET,,,NORTH OF,RTE.2,2-WAY,42.7133150568,-73.2058645805,2000,1/1/1991
1006,BERKSHIRE,WILLIAMSTOWN,SIMONDS ROAD,,,NORTH OF,N.HOOSAC RD.,2-WAY,42.7314986796,-73.2050542536,4313,1/1/2012
1007,BERKSHIRE,WILLIAMSTOWN,NORTH HOOSAC ROAD,,,AT,NORTH ADAMS,2-WAY,42.7058823817,-73.1769779759,3301,1/1/2012
1008,BERKSHIRE,CLARKSBURG,WEST CROSS ROAD,,,WEST OF,MIDDLE RD.,2-WAY,42.7202327466,-73.0974208155,2200,1/1/1994
1009,BERKSHIRE,CLARKSBURG,MOHAWK TRAIL,,,AT,NORTH ADAMS,2-WAY,42.7085198886,-73.0631179138,3115,1/1/2012
101,BERKSHIRE,WILLIAMSTOWN,COLD SPRING ROAD,,,NORTH OF,RTE. 2,2-WAY,42.6892410843,-73.2293675348,5800,1/1/1991
1010,BERKSHIRE,FLORIDA,MOHAWK TRAIL,,,WEST OF,OLSEN RD.,2-WAY,42.695050912,-73.0356494714,2247,1/1/2012
1011,BERKSHIRE,FLORIDA,MOHAWK TRAIL,,,AT,SAVOY,2-WAY,42.6334886308,-72.976092247,1061,1/1/2012
1012,BERKSHIRE,NORTH ADAMS,MASSACHUSETTS AVENUE,,,EAST OF,ROBERTS DR.,2-WAY,42.7001834915,-73.1385564771,5549,1/1/2012
1013,BERKSHIRE,NORTH ADAMS,PATTISON ROAD,,,AT,WILLIAMSTOWN,2-WAY,42.6870216721,-73.1771199805,180,1/1/1992
